task,trial,outcome,degraded_reason,review_count,revision_count,initial_reward,final_reward,delta,classification,final_score_source,final_conformance,itt_included,completed_protocol,job,repeat,selected_strong_model,started_at,modifier_minutes,reviewer_minutes,initial_minutes,f2p_passed,f2p_total,p2p_passed,p2p_total
testem-bail-on-test-failure,testem-bail-on-test-failure__oXBZFZ2,approved,,1,0,0,0,0.0,unchanged,direct,matched,True,True,collab-codex-claude-complementary-opus-astra-medium-10-tasks-20260910-113656,R4,opus,2026-09-10T04:48:22.830543Z,7.045516666666667,14.932283333333332,7.045516666666667,89,90,489,489
httpx-streaming-json-iteration,httpx-streaming-json-iteration__GYpL3jQ,approved,,2,1,1,1,0.0,unchanged,direct,unavailable,False,True,collab-codex-claude-complementary-opus-astra-medium-10-tasks-20260909-140937,R1,astra,2026-09-09T07:37:55.587666Z,8.6784,14.586933333333333,5.157466666666667,108,108,1404,1404
httpx-streaming-json-iteration,httpx-streaming-json-iteration__5LGsjGp,approved,,1,0,1,1,0.0,unchanged,direct,matched,True,True,collab-codex-claude-complementary-opus-astra-medium-10-tasks-20260909-225200,R2,astra,2026-09-09T16:58:26.266632Z,5.7098,8.747533333333333,5.7098,108,108,1404,1404
httpx-streaming-json-iteration,httpx-streaming-json-iteration__u5kvKRP,approved,,2,1,1,1,0.0,unchanged,direct,matched,True,True,collab-codex-claude-complementary-opus-astra-medium-10-tasks-20260909-225200,R3,astra,2026-09-09T21:13:57.587516Z,5.4924333333333335,13.981383333333333,3.6755,108,108,1404,1404
httpx-streaming-json-iteration,httpx-streaming-json-iteration__sz2uGEa,approved,,2,1,1,1,0.0,unchanged,direct,matched,True,True,collab-codex-claude-complementary-opus-astra-medium-10-tasks-20260910-113656,R4,astra,2026-09-10T05:11:19.132446Z,7.079583333333333,15.697433333333333,5.82235,108,108,1404,1404
koota-deferred-mutation-buffer,koota-deferred-mutation-buffer__NpG5N86,degraded,timeout,2,2,1,1,0.0,unchanged,direct,unavailable,False,False,collab-codex-claude-complementary-opus-astra-medium-10-tasks-20260909-140937,R1,astra,2026-09-09T08:02:29.332739Z,40.19788333333333,44.785716666666666,10.62405,71,71,128,128
koota-deferred-mutation-buffer,koota-deferred-mutation-buffer__u7EDEEp,max_reviews_reached,,3,3,1,1,0.0,unchanged,direct,matched,True,True,collab-codex-claude-complementary-opus-astra-medium-10-tasks-20260909-225200,R2,astra,2026-09-09T17:13:37.328511Z,24.082133333333335,30.5592,7.66135,71,71,128,128
koota-deferred-mutation-buffer,koota-deferred-mutation-buffer__n7RDf3P,approved,,3,2,1,1,0.0,unchanged,direct,matched,True,True,collab-codex-claude-complementary-opus-astra-medium-10-tasks-20260909-225200,R3,astra,2026-09-09T21:34:08.588277Z,25.0719,27.118233333333333,9.03125,71,71,128,128
koota-deferred-mutation-buffer,koota-deferred-mutation-buffer__6yqXeiL,degraded,timeout,3,2,1,1,0.0,unchanged,direct,matched,True,False,collab-codex-claude-complementary-opus-astra-medium-10-tasks-20260910-113656,R4,astra,2026-09-10T05:34:51.697997Z,47.02308333333333,37.949133333333336,11.419433333333334,71,71,128,128
bandit-interprocedural-taint-checks,bandit-interprocedural-taint-che__KF2Ygu7,approved,,1,0,1,1,0.0,unchanged,direct,unavailable,False,True,collab-codex-claude-complementary-opus-astra-medium-10-tasks-20260909-140937,R1,astra,2026-09-09T06:53:41.268323Z,5.752366666666667,9.279783333333333,5.752366666666667,66,66,293,293
bandit-interprocedural-taint-checks,bandit-interprocedural-taint-che__rHVXoPE,approved,,1,0,1,1,0.0,unchanged,direct,matched,True,True,collab-codex-claude-complementary-opus-astra-medium-10-tasks-20260909-225200,R2,astra,2026-09-09T16:18:18.919343Z,5.669966666666666,10.799033333333334,5.669966666666666,66,66,293,293
bandit-interprocedural-taint-checks,bandit-interprocedural-taint-che__pj9wWXT,approved,,1,0,1,1,0.0,unchanged,direct,matched,True,True,collab-codex-claude-complementary-opus-astra-medium-10-tasks-20260909-225200,R3,astra,2026-09-09T20:39:29.480507Z,4.497116666666667,7.934583333333333,4.497116666666667,66,66,293,293
bandit-interprocedural-taint-checks,bandit-interprocedural-taint-che__9tzWGif,approved,,1,0,1,1,0.0,unchanged,direct,matched,True,True,collab-codex-claude-complementary-opus-astra-medium-10-tasks-20260910-113656,R4,astra,2026-09-10T04:24:33.799154Z,4.926683333333333,17.917683333333333,4.926683333333333,66,66,293,293
optique-conditional-option-dependencies,optique-conditional-option-depen__ps4gqAh,approved,,1,0,1,1,0.0,unchanged,direct,unavailable,False,True,collab-codex-claude-complementary-opus-astra-medium-10-tasks-20260909-140937,R1,astra,2026-09-09T10:41:03.031916Z,10.046783333333334,9.068933333333334,10.046783333333334,36,36,2034,2034
optique-conditional-option-dependencies,optique-conditional-option-depen__Eo63zxD,approved,,1,0,1,1,0.0,unchanged,direct,matched,True,True,collab-codex-claude-complementary-opus-astra-medium-10-tasks-20260909-225200,R2,astra,2026-09-09T19:01:26.767166Z,8.388033333333333,11.2197,8.388033333333333,36,36,2034,2034
optique-conditional-option-dependencies,optique-conditional-option-depen__9MoUos4,max_reviews_reached,,3,3,1,1,0.0,unchanged,direct,matched,True,True,collab-codex-claude-complementary-opus-astra-medium-10-tasks-20260909-225200,R3,astra,2026-09-09T23:53:22.491796Z,18.27295,19.9237,11.394266666666667,36,36,2034,2034
optique-conditional-option-dependencies,optique-conditional-option-depen__Hn8myvR,approved,,3,2,1,1,0.0,unchanged,direct,matched,True,True,collab-codex-claude-complementary-opus-astra-medium-10-tasks-20260910-113656,R4,astra,2026-09-10T08:29:06.900069Z,18.52488333333333,28.766066666666667,10.392433333333333,36,36,2034,2034
scc-bounded-memory-spilling,scc-bounded-memory-spilling__pUf7krF,approved,,2,1,1,1,0.0,unchanged,direct,unavailable,False,True,collab-codex-claude-complementary-opus-astra-medium-10-tasks-20260909-140937,R1,astra,2026-09-09T09:39:16.619351Z,16.396683333333332,19.048966666666665,13.25525,31,31,286,286
scc-bounded-memory-spilling,scc-bounded-memory-spilling__DjuBjYs,approved,,1,0,1,1,0.0,unchanged,direct,matched,True,True,collab-codex-claude-complementary-opus-astra-medium-10-tasks-20260909-225200,R2,astra,2026-09-09T18:18:31.581119Z,8.692333333333334,10.905333333333333,8.692333333333334,31,31,286,286
scc-bounded-memory-spilling,scc-bounded-memory-spilling__6akr8mY,approved,,3,2,1,1,0.0,unchanged,direct,matched,True,True,collab-codex-claude-complementary-opus-astra-medium-10-tasks-20260909-225200,R3,astra,2026-09-09T22:39:42.906732Z,18.55935,34.7102,11.568783333333334,31,31,286,286
scc-bounded-memory-spilling,scc-bounded-memory-spilling__A9cRpfA,approved,,2,1,1,1,0.0,unchanged,direct,matched,True,True,collab-codex-claude-complementary-opus-astra-medium-10-tasks-20260910-113656,R4,astra,2026-09-10T07:10:32.070976Z,19.355366666666665,28.952616666666668,13.877733333333333,31,31,286,286
