direction,job,task,trial,started_at,finished_at,task_checksum,original_final_reward,original_exception_type,outcome,degraded_reason,review_count,revision_count,final_conformance,script_itt_included,completed_protocol,classification,initial_reward,initial_f2p_passed,initial_f2p_total,initial_p2p_passed,initial_p2p_total,initial_partial,final_reward,final_f2p_passed,final_f2p_total,final_p2p_passed,final_p2p_total,final_partial,repeat_by_start
Codex → Claude Code,collab-codex-claude-joint-low-opus-astra-xhigh-12-tasks-20260913-111233,meriyah-explicit-resource-declarations,meriyah-explicit-resource-declar__e2cER4D,2026-09-13T10:17:15.095246Z,2026-09-13T11:21:01.851016Z,ab59654f0c43536333de37136fdb0a645f383f2ed9a9e286613de467309a55a7,0,,approved,,2,1,matched,True,True,unchanged,0,48,49,51469,51469,0.9999805893085911,0,45,49,51469,51469,0.9999223572343647,1
Codex → Claude Code,collab-codex-claude-joint-low-opus-astra-xhigh-12-tasks-20260913-111233,meriyah-explicit-resource-declarations,meriyah-explicit-resource-declar__oM3q7Bd,2026-09-13T19:28:46.316528Z,2026-09-13T20:10:28.904700Z,ab59654f0c43536333de37136fdb0a645f383f2ed9a9e286613de467309a55a7,0,,approved,,2,1,matched,True,True,unchanged,0,48,49,51469,51469,0.9999805893085911,0,46,49,51469,51469,0.9999417679257735,2
Codex → Claude Code,collab-codex-claude-joint-low-opus-astra-xhigh-12-tasks-20260913-111233,obsidian-linter-auto-table-of-contents,obsidian-linter-auto-table-of-co__bQBdGWQ,2026-09-13T09:42:30.150840Z,2026-09-13T10:00:48.844181Z,d6fdefea1eb2d0e1c30ac507c1f738957e45ce49029bfc3601183d4294a5fbaf,0,,approved,,1,0,matched,True,True,unchanged,0,0,41,1131,1131,0.9650170648464164,0,0,41,1131,1131,0.9650170648464164,1
Codex → Claude Code,collab-codex-claude-joint-low-opus-astra-xhigh-12-tasks-20260913-111233,obsidian-linter-auto-table-of-contents,obsidian-linter-auto-table-of-co__y7yRmCk,2026-09-13T18:56:38.943767Z,2026-09-13T19:12:42.038525Z,d6fdefea1eb2d0e1c30ac507c1f738957e45ce49029bfc3601183d4294a5fbaf,0,,approved,,1,0,matched,True,True,unchanged,0,0,41,1131,1131,0.9650170648464164,0,0,41,1131,1131,0.9650170648464164,2
Codex → Claude Code,collab-codex-claude-joint-low-opus-astra-xhigh-12-tasks-20260913-111233,obsidian-linter-link-format-conversion,obsidian-linter-link-format-conv__AvCNxm2,2026-09-13T10:00:48.846893Z,2026-09-13T10:17:15.091658Z,b849f1a1ad57348c262766a3555625fc0a96f914684e9c53c582194ea7067092,0,,approved,,1,0,matched,True,True,unchanged,0,59,60,1131,1131,0.9991603694374476,0,59,60,1131,1131,0.9991603694374476,1
Codex → Claude Code,collab-codex-claude-joint-low-opus-astra-xhigh-12-tasks-20260913-111233,obsidian-linter-link-format-conversion,obsidian-linter-link-format-conv__QR4Nx2L,2026-09-13T19:12:42.045739Z,2026-09-13T19:28:46.308462Z,b849f1a1ad57348c262766a3555625fc0a96f914684e9c53c582194ea7067092,0,,approved,,1,0,matched,True,True,unchanged,0,59,60,1131,1131,0.9991603694374476,0,59,60,1131,1131,0.9991603694374476,2
Codex → Claude Code,collab-codex-claude-joint-low-opus-astra-xhigh-12-tasks-20260913-111233,prometheus-transactional-reload-status,prometheus-transactional-reload__2SSQ9js,2026-09-13T07:14:37.128282Z,2026-09-13T08:29:17.666528Z,e4c933ae2725e84b18e97f26e8d334244e904c4d91539dbb20e0a50b07dc6f91,0,,approved,,1,0,matched,True,True,unchanged,0,10,15,82,82,0.9484536082474226,0,10,15,82,82,0.9484536082474226,1
Codex → Claude Code,collab-codex-claude-joint-low-opus-astra-xhigh-12-tasks-20260913-111233,prometheus-transactional-reload-status,prometheus-transactional-reload__ZPDCPRr,2026-09-13T17:15:10.027304Z,2026-09-13T18:15:47.097609Z,e4c933ae2725e84b18e97f26e8d334244e904c4d91539dbb20e0a50b07dc6f91,0,,approved,,1,0,matched,True,True,unchanged,0,10,15,82,82,0.9484536082474226,0,10,15,82,82,0.9484536082474226,2
Codex → Claude Code,collab-codex-claude-joint-low-opus-astra-xhigh-12-tasks-20260913-111233,sqlfmt-create-table-ddl-formatting,sqlfmt-create-table-ddl-formatti__BXTwcpe,2026-09-13T03:12:40.265112Z,2026-09-13T04:29:37.260596Z,d193fc923b99c2ec50aee41d3a12913f9099c310dafe324682ff2fb12799c091,0,,max_reviews_reached,,3,3,matched,True,True,unchanged,0,30,32,1271,1273,0.9969348659003832,0,30,32,1271,1273,0.9969348659003832,1
Codex → Claude Code,collab-codex-claude-joint-low-opus-astra-xhigh-12-tasks-20260913-111233,sqlfmt-create-table-ddl-formatting,sqlfmt-create-table-ddl-formatti__NYcXnWY,2026-09-13T12:24:04.346119Z,2026-09-13T13:21:40.829667Z,d193fc923b99c2ec50aee41d3a12913f9099c310dafe324682ff2fb12799c091,0,,approved,,2,1,matched,True,True,unchanged,0,28,32,1269,1273,0.9938697318007663,0,28,32,1269,1273,0.9938697318007663,2
Codex → Claude Code,collab-codex-claude-joint-low-opus-astra-xhigh-12-tasks-20260913-111233,termenv-preserve-ansi-resets,termenv-preserve-ansi-resets__PjtvY6K,2026-09-13T08:29:17.670264Z,2026-09-13T08:48:17.044148Z,406193dd0818937cc95a99e6d5cfbdc41e4d347a099970207b4500f74403b180,0,,approved,,1,0,matched,True,True,unchanged,0,34,35,87,87,0.9918032786885246,0,34,35,87,87,0.9918032786885246,1
Codex → Claude Code,collab-codex-claude-joint-low-opus-astra-xhigh-12-tasks-20260913-111233,termenv-preserve-ansi-resets,termenv-preserve-ansi-resets__oKLUqeT,2026-09-13T18:15:47.112342Z,2026-09-13T18:32:15.339920Z,406193dd0818937cc95a99e6d5cfbdc41e4d347a099970207b4500f74403b180,0,,approved,,1,0,matched,True,True,unchanged,0,34,35,87,87,0.9918032786885246,0,34,35,87,87,0.9918032786885246,2
Codex → Claude Code,collab-codex-claude-joint-low-opus-astra-xhigh-12-tasks-20260913-111233,vulture-persistent-analysis-cache,vulture-persistent-analysis-cach__QDFnyNX,2026-09-13T13:21:40.838215Z,2026-09-13T14:47:10.531406Z,209ec4964f2d47d28f7209d906e75afdb581770183e447231bc8e8b60cbe5d6b,,RuntimeError,degraded,timeout,1,1,unavailable,False,False,unchanged,0,24,24,291,295,0.987460815047022,0,24,24,291,295,0.987460815047022,2
Codex → Claude Code,collab-codex-claude-joint-low-opus-astra-xhigh-12-tasks-20260913-111233,vulture-persistent-analysis-cache,vulture-persistent-analysis-cach__vRKrhHz,2026-09-13T04:29:37.268164Z,2026-09-13T04:56:15.563445Z,209ec4964f2d47d28f7209d906e75afdb581770183e447231bc8e8b60cbe5d6b,,RuntimeError,approved,,1,0,unavailable,False,True,unchanged,0,24,24,291,295,0.987460815047022,0,24,24,291,295,0.987460815047022,1
Claude Code → Codex,collab-claude-codex-joint-low-opus-astra-xhigh-12-tasks-20260913-111243,arktype-json-schema-refs-dependencies,arktype-json-schema-refs-depende__9d3M8EV,2026-09-13T10:35:37.008564Z,2026-09-13T11:48:35.078692Z,c76f0c8ec2f874858c6db78320769f2da362bbeee864d7dd33794af9bc00c635,0,,max_reviews_reached,,3,3,matched,True,True,harmed,1,25,25,1679,1679,1.0,0,23,25,1679,1679,0.9988262910798122,2
Claude Code → Codex,collab-claude-codex-joint-low-opus-astra-xhigh-12-tasks-20260913-111243,arktype-json-schema-refs-dependencies,arktype-json-schema-refs-depende__DMKWUkW,2026-09-13T04:01:17.112020Z,2026-09-13T05:27:55.166672Z,c76f0c8ec2f874858c6db78320769f2da362bbeee864d7dd33794af9bc00c635,1,,degraded,timeout,3,2,matched,True,False,unchanged,1,25,25,1679,1679,1.0,1,25,25,1679,1679,1.0,1
Claude Code → Codex,collab-claude-codex-joint-low-opus-astra-xhigh-12-tasks-20260913-111243,bandit-structured-nosec-directives,bandit-structured-nosec-directiv__ECRkfVG,2026-09-13T10:45:51.273225Z,2026-09-13T11:48:37.244936Z,c1cc94defda811102cd5ea0ea9198109469bb31f271dfa9cb56468cf5e4931c9,0,,max_reviews_reached,,3,3,matched,True,True,unchanged,0,67,69,281,282,0.9914529914529915,0,67,69,280,282,0.9886039886039886,2
Claude Code → Codex,collab-claude-codex-joint-low-opus-astra-xhigh-12-tasks-20260913-111243,bandit-structured-nosec-directives,bandit-structured-nosec-directiv__s37rUyT,2026-09-13T04:35:25.356287Z,2026-09-13T05:36:06.387477Z,c1cc94defda811102cd5ea0ea9198109469bb31f271dfa9cb56468cf5e4931c9,0,,max_reviews_reached,,3,3,matched,True,True,unchanged,0,69,69,281,282,0.9971509971509972,0,67,69,281,282,0.9914529914529915,1
Claude Code → Codex,collab-claude-codex-joint-low-opus-astra-xhigh-12-tasks-20260913-111243,gql-incremental-graphql-delivery,gql-incremental-graphql-delivery__JwuDboF,2026-09-13T06:46:57.771688Z,2026-09-13T07:24:56.053817Z,62df0ef702790997b65d65be40b20eeb48fdeabddcf21e03f9e1ecba8798f3df,0,,approved,,3,2,matched,True,True,unchanged,0,16,17,810,811,0.9975845410628019,0,16,17,810,811,0.9975845410628019,1
Claude Code → Codex,collab-claude-codex-joint-low-opus-astra-xhigh-12-tasks-20260913-111243,gql-incremental-graphql-delivery,gql-incremental-graphql-delivery__UPMCKrQ,2026-09-13T12:56:37.864479Z,2026-09-13T13:43:37.034541Z,62df0ef702790997b65d65be40b20eeb48fdeabddcf21e03f9e1ecba8798f3df,0,,approved,,3,2,matched,True,True,unchanged,0,17,17,810,811,0.998792270531401,0,17,17,810,811,0.998792270531401,2
Claude Code → Codex,collab-claude-codex-joint-low-opus-astra-xhigh-12-tasks-20260913-111243,igel-persist-feature-schema,igel-persist-feature-schema__CRaBfsb,2026-09-13T05:27:55.175175Z,2026-09-13T06:08:30.006640Z,38a57e36cf8598cce742e3fd8889c2cf11c82d72031f2beb00000ed176340593,0,,max_reviews_reached,,3,3,matched,True,True,unchanged,0,6,24,2,2,0.3076923076923077,0,6,24,2,2,0.3076923076923077,1
Claude Code → Codex,collab-claude-codex-joint-low-opus-astra-xhigh-12-tasks-20260913-111243,igel-persist-feature-schema,igel-persist-feature-schema__r6B2Nrc,2026-09-13T11:48:35.086277Z,2026-09-13T12:07:40.654817Z,38a57e36cf8598cce742e3fd8889c2cf11c82d72031f2beb00000ed176340593,0,,approved,,2,1,matched,True,True,unchanged,0,6,24,2,2,0.3076923076923077,0,6,24,2,2,0.3076923076923077,2
Claude Code → Codex,collab-claude-codex-joint-low-opus-astra-xhigh-12-tasks-20260913-111243,ink-grid-box-layout,ink-grid-box-layout__TrZM9WS,2026-09-13T08:07:32.017493Z,2026-09-13T09:33:30.505474Z,d77d06ae6f88f00521783b4ac41b7a6fd93eedc1bab89f5a52b15c1520f354c9,0,,degraded,timeout,3,2,matched,True,False,unchanged,0,22,25,49,49,0.9594594594594594,0,22,25,49,49,0.9594594594594594,1
Claude Code → Codex,collab-claude-codex-joint-low-opus-astra-xhigh-12-tasks-20260913-111243,ink-grid-box-layout,ink-grid-box-layout__kUepWZ2,2026-09-13T14:57:43.283701Z,2026-09-13T16:23:48.664084Z,d77d06ae6f88f00521783b4ac41b7a6fd93eedc1bab89f5a52b15c1520f354c9,0,,degraded,timeout,1,1,matched,True,False,harmed,1,25,25,49,49,1.0,0,23,25,49,49,0.972972972972973,2
Claude Code → Codex,collab-claude-codex-joint-low-opus-astra-xhigh-12-tasks-20260913-111243,meriyah-explicit-resource-declarations,meriyah-explicit-resource-declar__4wa4aiS,2026-09-13T07:41:51.053431Z,2026-09-13T09:09:35.959524Z,ab59654f0c43536333de37136fdb0a645f383f2ed9a9e286613de467309a55a7,0,,degraded,timeout,1,0,matched,True,False,unchanged,0,45,49,51469,51469,0.9999223572343647,0,45,49,51469,51469,0.9999223572343647,1
Claude Code → Codex,collab-claude-codex-joint-low-opus-astra-xhigh-12-tasks-20260913-111243,meriyah-explicit-resource-declarations,meriyah-explicit-resource-declar__nz5f6BZ,2026-09-13T14:16:51.102004Z,2026-09-13T15:31:20.057392Z,ab59654f0c43536333de37136fdb0a645f383f2ed9a9e286613de467309a55a7,0,,approved,,2,1,matched,True,True,unchanged,0,46,49,51469,51469,0.9999417679257735,0,46,49,51469,51469,0.9999417679257735,2
Claude Code → Codex,collab-claude-codex-joint-low-opus-astra-xhigh-12-tasks-20260913-111243,obsidian-linter-auto-table-of-contents,obsidian-linter-auto-table-of-co__S86Y4gz,2026-09-13T07:02:14.250977Z,2026-09-13T07:41:51.045587Z,d6fdefea1eb2d0e1c30ac507c1f738957e45ce49029bfc3601183d4294a5fbaf,0,,max_reviews_reached,,3,3,matched,True,True,unchanged,0,37,41,1131,1131,0.9965870307167235,0,37,41,1131,1131,0.9965870307167235,1
Claude Code → Codex,collab-claude-codex-joint-low-opus-astra-xhigh-12-tasks-20260913-111243,obsidian-linter-auto-table-of-contents,obsidian-linter-auto-table-of-co__fDhPnNH,2026-09-13T13:16:37.649822Z,2026-09-13T14:16:51.091032Z,d6fdefea1eb2d0e1c30ac507c1f738957e45ce49029bfc3601183d4294a5fbaf,0,,max_reviews_reached,,3,3,matched,True,True,unchanged,0,0,41,1131,1131,0.9650170648464164,0,0,41,1131,1131,0.9650170648464164,2
Claude Code → Codex,collab-claude-codex-joint-low-opus-astra-xhigh-12-tasks-20260913-111243,obsidian-linter-link-format-conversion,obsidian-linter-link-format-conv__3hKFact,2026-09-13T13:43:37.043245Z,2026-09-13T14:57:43.281145Z,b849f1a1ad57348c262766a3555625fc0a96f914684e9c53c582194ea7067092,,RuntimeError,max_reviews_reached,,3,3,unavailable,False,True,unchanged,0,59,60,1131,1131,0.9991603694374476,0,59,60,1131,1131,0.9991603694374476,2
Claude Code → Codex,collab-claude-codex-joint-low-opus-astra-xhigh-12-tasks-20260913-111243,obsidian-linter-link-format-conversion,obsidian-linter-link-format-conv__9BqpGbH,2026-09-13T07:24:56.062782Z,2026-09-13T08:07:32.007677Z,b849f1a1ad57348c262766a3555625fc0a96f914684e9c53c582194ea7067092,0,,max_reviews_reached,,3,3,matched,True,True,unchanged,0,58,60,1131,1131,0.998320738874895,0,58,60,1131,1131,0.998320738874895,1
Claude Code → Codex,collab-claude-codex-joint-low-opus-astra-xhigh-12-tasks-20260913-111243,prometheus-transactional-reload-status,prometheus-transactional-reload__FiSaxqu,2026-09-13T05:36:06.397391Z,2026-09-13T07:02:14.243459Z,e4c933ae2725e84b18e97f26e8d334244e904c4d91539dbb20e0a50b07dc6f91,0,,degraded,timeout,3,2,matched,True,False,unchanged,0,10,15,82,82,0.9484536082474226,0,0,15,0,82,0.0,1
Claude Code → Codex,collab-claude-codex-joint-low-opus-astra-xhigh-12-tasks-20260913-111243,prometheus-transactional-reload-status,prometheus-transactional-reload__uFsvnW8,2026-09-13T11:48:37.251493Z,2026-09-13T13:16:37.641318Z,e4c933ae2725e84b18e97f26e8d334244e904c4d91539dbb20e0a50b07dc6f91,0,,degraded,timeout,2,1,matched,True,False,unchanged,0,10,15,82,82,0.9484536082474226,0,10,15,82,82,0.9484536082474226,2
Claude Code → Codex,collab-claude-codex-joint-low-opus-astra-xhigh-12-tasks-20260913-111243,sqlfmt-create-table-ddl-formatting,sqlfmt-create-table-ddl-formatti__F8PfyCv,2026-09-13T09:09:35.963637Z,2026-09-13T10:35:37.001488Z,d193fc923b99c2ec50aee41d3a12913f9099c310dafe324682ff2fb12799c091,0,,degraded,timeout,3,2,matched,True,False,unchanged,0,32,32,1269,1273,0.9969348659003832,0,32,32,1269,1273,0.9969348659003832,2
Claude Code → Codex,collab-claude-codex-joint-low-opus-astra-xhigh-12-tasks-20260913-111243,sqlfmt-create-table-ddl-formatting,sqlfmt-create-table-ddl-formatti__U9n2hnE,2026-09-13T03:12:48.124739Z,2026-09-13T04:35:25.348160Z,d193fc923b99c2ec50aee41d3a12913f9099c310dafe324682ff2fb12799c091,0,,max_reviews_reached,,3,3,matched,True,True,unchanged,0,32,32,1261,1273,0.9908045977011494,0,32,32,1261,1273,0.9908045977011494,1
Claude Code → Codex,collab-claude-codex-joint-low-opus-astra-xhigh-12-tasks-20260913-111243,termenv-preserve-ansi-resets,termenv-preserve-ansi-resets__LJDS3LW,2026-09-13T12:07:40.663063Z,2026-09-13T12:56:37.856348Z,406193dd0818937cc95a99e6d5cfbdc41e4d347a099970207b4500f74403b180,0,,max_reviews_reached,,3,3,matched,True,True,unchanged,0,31,35,87,87,0.9672131147540983,0,31,35,87,87,0.9672131147540983,2
Claude Code → Codex,collab-claude-codex-joint-low-opus-astra-xhigh-12-tasks-20260913-111243,termenv-preserve-ansi-resets,termenv-preserve-ansi-resets__a2GoD2p,2026-09-13T06:08:30.017230Z,2026-09-13T06:46:57.765510Z,406193dd0818937cc95a99e6d5cfbdc41e4d347a099970207b4500f74403b180,0,,approved,,3,2,matched,True,True,unchanged,0,34,35,87,87,0.9918032786885246,0,34,35,87,87,0.9918032786885246,1
Claude Code → Codex,collab-claude-codex-joint-low-opus-astra-xhigh-12-tasks-20260913-111243,vulture-persistent-analysis-cache,vulture-persistent-analysis-cach__JcquQSo,2026-09-13T03:12:48.227119Z,2026-09-13T04:01:17.104603Z,209ec4964f2d47d28f7209d906e75afdb581770183e447231bc8e8b60cbe5d6b,0,,max_reviews_reached,,3,3,matched,True,True,unchanged,0,23,24,291,295,0.9843260188087775,0,23,24,291,295,0.9843260188087775,1
Claude Code → Codex,collab-claude-codex-joint-low-opus-astra-xhigh-12-tasks-20260913-111243,vulture-persistent-analysis-cache,vulture-persistent-analysis-cach__zprfZbd,2026-09-13T09:33:30.508448Z,2026-09-13T10:45:51.263083Z,209ec4964f2d47d28f7209d906e75afdb581770183e447231bc8e8b60cbe5d6b,0,,max_reviews_reached,,3,3,matched,True,True,unchanged,0,24,24,291,295,0.987460815047022,0,24,24,291,295,0.987460815047022,2
