direction,job,task,trial,started_at,eligible,ineligible_reason,outcome,degraded_reason,deliverable,review_count,revision_count,initial_reward,final_reward,operational_final_pass,initial_minutes,final_conformance,task_checksum,transition,modifier_minutes,reviewer_minutes,initial_f2p_passed,initial_f2p_total,initial_p2p_passed,initial_p2p_total,final_f2p_passed,final_f2p_total,final_p2p_passed,final_p2p_total,repeat
claude-codex,collab-claude-codex-complementary-opus-astra-xhigh-10-tasks-20260912-123742,wazero-multi-module-snapshots,wazero-multi-module-snapshots__2C94zCe,2026-09-12T07:45:52.605462Z,True,,approved,,True,3,2,1,0,0,16.8752,matched,9a7b84a5dd3c5db5bfaeb131a8a7493384d59501fe70bdf5b305843a063442c4,1→0,45.02755,14.02055,78,78,2,2,77,78,2,2,R1
claude-codex,collab-claude-codex-complementary-opus-astra-xhigh-10-tasks-20260912-123742,wazero-multi-module-snapshots,wazero-multi-module-snapshots__A5D5fFg,2026-09-12T13:52:46.569322Z,True,,approved,,True,3,2,1,1,1,22.929633333333335,matched,9a7b84a5dd3c5db5bfaeb131a8a7493384d59501fe70bdf5b305843a063442c4,1→1,43.411766666666665,14.930216666666666,78,78,2,2,78,78,2,2,R2
claude-codex,collab-claude-codex-complementary-opus-astra-xhigh-10-tasks-20260912-123742,ts-pattern-match-each,ts-pattern-match-each__Do6HAPn,2026-09-12T07:25:25.558670Z,True,,approved,,True,2,1,1,0,0,6.9641166666666665,matched,045a1f9861c0c7d4d3a5f500fae6cee95de1026cd6e1c7f9fbd9c417b8a488e0,1→0,14.649833333333333,5.072866666666667,85,85,6,6,0,85,6,6,R1
claude-codex,collab-claude-codex-complementary-opus-astra-xhigh-10-tasks-20260912-123742,ts-pattern-match-each,ts-pattern-match-each__DvfxCeq,2026-09-12T13:26:51.466502Z,True,,approved,,True,3,2,1,0,0,8.041666666666666,matched,045a1f9861c0c7d4d3a5f500fae6cee95de1026cd6e1c7f9fbd9c417b8a488e0,1→0,16.49735,8.565533333333333,85,85,6,6,0,85,6,6,R2
claude-codex,collab-claude-codex-complementary-opus-astra-xhigh-10-tasks-20260912-123742,python-statemachine-state-data-scoping,python-statemachine-state-data-s__VkWcbzz,2026-09-12T04:37:54.382905Z,True,,max_reviews_reached,,True,3,3,1,1,1,31.688133333333333,matched,855dd4db63ddabc4bdb0fd0a46e1f85f656fb63df3fb8cb7be91cd0724c7daec,1→1,59.375616666666666,20.906683333333334,72,72,1286,1286,72,72,1286,1286,R1
claude-codex,collab-claude-codex-complementary-opus-astra-xhigh-10-tasks-20260912-123742,python-statemachine-state-data-scoping,python-statemachine-state-data-s__x3H4heG,2026-09-12T10:15:27.103418Z,True,,approved,,True,3,2,1,0,0,41.2109,matched,855dd4db63ddabc4bdb0fd0a46e1f85f656fb63df3fb8cb7be91cd0724c7daec,1→0,59.337983333333334,14.724383333333334,72,72,1286,1286,70,72,1286,1286,R2
claude-codex,collab-claude-codex-complementary-opus-astra-xhigh-10-tasks-20260912-123742,helm-array-merge-strategies,helm-array-merge-strategies__gS96Azj,2026-09-12T09:43:30.967564Z,False,no_initial_patch,timeout,,False,0,0,,,0,85.04056666666666,,7694abfb1351fc30ca00b62f2faf3b18e69756bbbb4f00a6d51f3bedbba0a18a,no_initial_patch,85.04056666666666,0.0,,,,,,,,,R1
claude-codex,collab-claude-codex-complementary-opus-astra-xhigh-10-tasks-20260912-123742,helm-array-merge-strategies,helm-array-merge-strategies__Pr8iVqD,2026-09-12T15:37:56.575125Z,False,no_initial_patch,timeout,,False,0,0,,,0,85.03785,,7694abfb1351fc30ca00b62f2faf3b18e69756bbbb4f00a6d51f3bedbba0a18a,no_initial_patch,85.03785,0.0,,,,,,,,,R2
claude-codex,collab-claude-codex-complementary-opus-astra-xhigh-10-tasks-20260912-123742,testem-bail-on-test-failure,testem-bail-on-test-failure__thWQvjE,2026-09-12T05:59:16.464912Z,True,,degraded,timeout,True,2,1,1,1,1,19.170133333333332,matched,c8a697be3972b296074fcfed570016e15f8c076a01e909e3117ffba928fc1a53,1→1,74.36153333333333,10.641183333333334,90,90,489,489,90,90,489,489,R1
claude-codex,collab-claude-codex-complementary-opus-astra-xhigh-10-tasks-20260912-123742,testem-bail-on-test-failure,testem-bail-on-test-failure__jYjxfWs,2026-09-12T11:30:44.130751Z,True,,max_reviews_reached,,True,3,3,0,0,0,18.114083333333333,matched,c8a697be3972b296074fcfed570016e15f8c076a01e909e3117ffba928fc1a53,0→0,68.59906666666667,13.570033333333333,88,90,489,489,88,90,489,489,R2
claude-codex,collab-claude-codex-complementary-opus-astra-xhigh-10-tasks-20260912-123742,httpx-streaming-json-iteration,httpx-streaming-json-iteration__MA3axBr,2026-09-12T06:02:04.460654Z,True,,approved,,True,3,2,0,1,1,12.488766666666667,matched,4b5db45bc7b1572218d3a534f497845884988299b9609e36ddcc2ffd6eafd294,0→1,40.119283333333335,11.2583,107,108,1404,1404,108,108,1404,1404,R1
claude-codex,collab-claude-codex-complementary-opus-astra-xhigh-10-tasks-20260912-123742,httpx-streaming-json-iteration,httpx-streaming-json-iteration__nDKr7PL,2026-09-12T12:26:24.250374Z,True,,max_reviews_reached,,True,3,3,0,1,1,20.568916666666667,matched,4b5db45bc7b1572218d3a534f497845884988299b9609e36ddcc2ffd6eafd294,0→1,44.7954,14.8255,106,108,1404,1404,108,108,1404,1404,R2
claude-codex,collab-claude-codex-complementary-opus-astra-xhigh-10-tasks-20260912-123742,koota-deferred-mutation-buffer,koota-deferred-mutation-buffer__g5Ze4xv,2026-09-12T06:54:16.401603Z,True,,degraded,timeout,True,2,1,0,0,0,30.258266666666668,matched,7406c05a0fd37075ed64a77ad8dae33a14e35725742378e4e0bce123586b07b7,0→0,72.8477,12.14995,70,71,128,128,70,71,128,128,R1
claude-codex,collab-claude-codex-complementary-opus-astra-xhigh-10-tasks-20260912-123742,koota-deferred-mutation-buffer,koota-deferred-mutation-buffer__3beCr9z,2026-09-12T12:53:53.421047Z,True,,degraded,timeout,True,2,1,0,0,0,21.084583333333335,matched,7406c05a0fd37075ed64a77ad8dae33a14e35725742378e4e0bce123586b07b7,0→0,71.72928333333333,13.27345,69,71,128,128,70,71,128,128,R2
claude-codex,collab-claude-codex-complementary-opus-astra-xhigh-10-tasks-20260912-123742,bandit-interprocedural-taint-checks,bandit-interprocedural-taint-che__WtkyWqv,2026-09-12T04:37:54.483013Z,True,,degraded,timeout,True,3,2,1,1,1,22.876033333333332,matched,34576b895a74560d5dc017237d87526a53a287795804d674e4f32c714234f2a6,1→1,63.64256666666667,19.5881,66,66,293,293,66,66,293,293,R1
claude-codex,collab-claude-codex-complementary-opus-astra-xhigh-10-tasks-20260912-123742,bandit-interprocedural-taint-checks,bandit-interprocedural-taint-che__cKZqnei,2026-09-12T11:09:02.071520Z,True,,max_reviews_reached,,True,3,3,1,1,1,9.679666666666666,matched,34576b895a74560d5dc017237d87526a53a287795804d674e4f32c714234f2a6,1→1,62.910066666666665,13.42775,66,66,293,293,66,66,293,293,R2
claude-codex,collab-claude-codex-complementary-opus-astra-xhigh-10-tasks-20260912-123742,optique-conditional-option-dependencies,optique-conditional-option-depen__cPspgY6,2026-09-12T08:20:09.342830Z,True,,max_reviews_reached,,True,3,3,1,1,1,26.621933333333335,matched,7b150ff265d8615a244129768a021a054f7d335e8cb90e80f87951c078e89bd4,1→1,67.10591666666667,15.076116666666667,36,36,2034,2034,36,36,2034,2034,R1
claude-codex,collab-claude-codex-complementary-opus-astra-xhigh-10-tasks-20260912-123742,optique-conditional-option-dependencies,optique-conditional-option-depen__GZ9uWzt,2026-09-12T14:19:43.998193Z,True,,max_reviews_reached,,True,3,3,0,0,0,28.08205,matched,7b150ff265d8615a244129768a021a054f7d335e8cb90e80f87951c078e89bd4,0→0,63.09695,13.986083333333333,35,36,2034,2034,35,36,2034,2034,R2
claude-codex,collab-claude-codex-complementary-opus-astra-xhigh-10-tasks-20260912-123742,oxvg-structural-selector-preservation,oxvg-structural-selector-preserv__M6iQFmS,2026-09-12T08:46:33.326789Z,True,,degraded,timeout,True,1,0,1,1,1,70.49461666666667,matched,d34f5bb2ad61d90d900d615d7cf00a715ea96596ae445ba265ca37d05b89c184,1→1,79.2747,5.5441666666666665,6,6,62,62,6,6,62,62,R1
claude-codex,collab-claude-codex-complementary-opus-astra-xhigh-10-tasks-20260912-123742,oxvg-structural-selector-preservation,oxvg-structural-selector-preserv__uCrQXqk,2026-09-12T14:52:50.422765Z,True,,degraded,timeout,True,2,1,0,0,0,40.35565,matched,d34f5bb2ad61d90d900d615d7cf00a715ea96596ae445ba265ca37d05b89c184,0→0,72.37235,12.089683333333333,4,6,62,62,3,6,62,62,R2
