task_id,title,language,repository,base_commit_hash,prompt_characters,category,f2p_test_count,p2p_test_count,gold_patch_files,gold_patch_insertions,gold_patch_deletions,gold_patch_changed_lines,total_trials,effective_trials,excluded_trials,error_rate,verifier_timeouts,model_coverage,config_coverage,minimum_effective_repeats,base_model_equal_pass_rate,config_equal_pass_rate,low_model_count,high_model_count,item_rest_correlation_config,item_rest_correlation_base_model,between_config_variance,within_config_mean_variance,discrimination_signal_ratio,v1_pass_rate,v1_1_pass_rate_on_shared_rollouts,v1_to_v1_1_delta,scoring_sensitive,rank_score,difficulty_band,patch_size_band,layer_01_stable,layer_01_exclusion_reasons,layer_02_broad,layer_02_exclusion_reasons,layer_03_core,layer_03_exclusion_reasons
bandit-incremental-cache-control,Add incremental cache controls to Bandit,python,PyCQA/bandit,765f00d3f202f83f61d03f882f80a2d5142d81f8,1746,feature_request,88,275,6,687,4,691,200,200,0,0.0,0,18,50,4,0.386111,0.525,8,5,0.809073,0.770676,0.145625,0.025937,0.848816,0.475,0.575,0.1,True,0.803737,hard,medium,True,[],True,[],True,[]
bandit-interprocedural-taint-checks,Add interprocedural taint checks for Bandit injection sinks,python,PyCQA/bandit,b46fa3a2723635aa29cc012538df4867ac2ac006,1081,feature_request,66,293,9,842,1,843,200,198,2,0.01,0,18,50,3,0.44537,0.506667,8,6,0.476024,0.576737,0.138011,0.028356,0.829555,0.575,0.475,-0.1,True,0.61338,medium,large,True,[],True,[],True,[]
bandit-structured-nosec-directives,Add structured nosec directives for regions and next line,python,PyCQA/bandit,b46fa3a2723635aa29cc012538df4867ac2ac006,2721,feature_request,69,282,7,629,24,653,200,199,1,0.005,0,18,50,3,0.038889,0.055,18,0,-0.118162,0.077921,0.018225,0.008438,0.683544,0.025,0.0,-0.025,False,0.110794,hard,medium,True,[],False,"[""base_model_equal_pass_rate"", ""config_equal_pass_rate"", ""high_model_count""]",False,"[""base_model_equal_pass_rate"", ""config_equal_pass_rate"", ""high_model_count"", ""item_rest_correlation_config""]"
boa-hierarchical-evaluation-cancellation,Add hierarchical evaluation cancellation to Boa,rust,boa-dev/boa,70409a5052984325dccfdc5f6520818568a81f39,4154,feature_request,17,7,7,546,26,572,199,195,4,0.020101,4,18,50,1,0.404167,0.475,8,4,0.773546,0.702066,0.133125,0.029063,0.820809,0.5102,0.5,-0.0102,False,0.768607,medium,small,False,"[""minimum_effective_repeats"", ""verifier_timeouts""]",False,[],False,[]
cattrs-partial-structuring-recovery,Add partial structuring with error recovery to cattrs,python,python-attrs/cattrs,6bc4708fb9b2ac52d9a18997e923da6a58916102,1242,feature_request,69,7,3,632,0,632,200,200,0,0.0,0,18,50,4,0.621528,0.6,2,7,0.540611,0.557624,0.105,0.03375,0.756757,0.55,0.65,0.1,True,0.609727,easy,medium,True,[],False,"[""low_model_count""]",False,"[""low_model_count""]"
clack-async-autocomplete-options,Add async autocomplete options and fetch lifecycle handling,typescript,bombshell-dev/clack,8a96e2dcd7f821d1250b58cf71c327679f94de25,3029,feature_request,82,643,4,478,64,542,200,198,2,0.01,0,18,50,3,0.326389,0.35,11,4,0.300562,0.418491,0.11,0.029375,0.789238,0.2051,0.275,0.0699,False,0.463001,hard,small,True,[],True,[],True,[]
claude-code-by-agents-recursive-delegation,Implement recursive agent delegation through delegate_task tool calls,typescript,baryhuang/claude-code-by-agents,5e0a2247d446c49a9951a06bb83b6e956dc7eb41,1199,feature_request,7,31,4,756,85,841,199,199,0,0.0,0,18,50,3,0.542361,0.52,4,6,-0.10714,-0.271854,0.1071,0.035625,0.750394,0.102,0.5,0.398,True,0.12543,medium,large,True,[],True,[],False,"[""item_rest_correlation_config""]"
cliffy-config-file-parsing,Add config file parsing to Cliffy commands,typescript,c4spar/cliffy,132a437c40cffbdfbe474ca808c8debde59e2633,1973,feature_request,37,451,7,659,206,865,200,200,0,0.0,0,18,50,4,0.45,0.525,7,7,0.584655,0.548498,0.145625,0.025937,0.848816,0.35,0.275,-0.075,False,0.659982,medium,large,True,[],True,[],True,[]
csstree-shorthand-expansion-compression,Add shorthand expansion and compression to the lexer,javascript,csstree/csstree,88e3d965c0b1628642a30a841745b410d6835052,2799,feature_request,79,16715,3,518,0,518,200,197,3,0.015,0,18,50,3,0.236343,0.276667,12,1,0.502318,0.513069,0.103178,0.024606,0.807437,0.325,0.3,-0.025,False,0.563066,hard,small,True,[],False,"[""high_model_count""]",False,"[""base_model_equal_pass_rate"", ""config_equal_pass_rate"", ""high_model_count""]"
dasel-html-document-format,Add HTML document format handling to Dasel,go,TomWright/dasel,0dd6132e0c58edbd9b1a5f7ffd00dfab1e6085ad,1546,feature_request,146,1012,4,1088,0,1088,200,196,4,0.02,0,18,50,3,0.394213,0.503333,9,5,0.512888,0.558534,0.190544,0.015231,0.92598,0.425,0.55,0.125,True,0.634472,hard,large,True,[],True,[],True,[]
dateutil-rfc5545-timezone-interop,Add RFC 5545 timezone interoperability to dateutil recurrence parsing,python,dateutil/dateutil,c981f9c7aa91b83cc9bd33a09ecee9e751b06e8d,2890,enhancement,67,2035,1,829,14,843,200,200,0,0.0,0,18,50,4,0.3875,0.4,7,5,0.620012,0.539547,0.135,0.02625,0.837209,0.25,0.4,0.15,True,0.658834,hard,large,True,[],True,[],True,[]
drizzle-orm-window-function-builders,Add typed window function builders with OVER clauses,typescript,drizzle-team/drizzle-orm,e8e6edfef5ca69c6188d320388ad440265911057,2340,feature_request,130,566,17,529,5,534,200,200,0,0.0,0,18,50,4,0.776389,0.86,2,14,0.737808,0.757856,0.0629,0.014375,0.813976,0.8776,0.85,-0.0276,False,0.728995,easy,small,True,[],False,"[""config_equal_pass_rate"", ""low_model_count""]",False,"[""base_model_equal_pass_rate"", ""config_equal_pass_rate"", ""low_model_count""]"
dynamodb-toolbox-conditional-attribute-requirements,Add conditional required attributes to schemas,typescript,dynamodb-toolbox/dynamodb-toolbox,1f2a18664f8aded292707fcafb01ff15ea33d3b8,1243,feature_request,31,1267,36,577,52,629,199,198,1,0.005025,0,18,50,3,0.677315,0.736667,3,9,0.79975,0.797375,0.129544,0.016481,0.887133,0.825,0.775,-0.05,False,0.801195,easy,medium,True,[],True,[],False,"[""config_equal_pass_rate"", ""low_model_count""]"
dynamodb-toolbox-lazy-recursive-schemas,Add lazy recursive schemas with DTO and JSON Schema export,typescript,dynamodb-toolbox/dynamodb-toolbox,1f2a18664f8aded292707fcafb01ff15ea33d3b8,1265,feature_request,37,1267,28,517,23,540,195,195,0,0.0,0,18,50,1,0.534028,0.67,5,6,0.783907,0.641856,0.1411,0.02,0.875854,0.551,0.8,0.249,True,0.781587,medium,small,False,"[""minimum_effective_repeats""]",False,[],False,[]
effect-sse-httpapi-streaming,Add SSE streaming endpoints to HttpApi,typescript,Effect-TS/effect,9245bc59ebfa688e8c92dd691296ee69d0815e59,2177,feature_request,47,70,7,829,42,871,200,200,0,0.0,0,18,50,4,0.119444,0.16,14,0,0.509214,0.441337,0.0469,0.021875,0.681934,0.1837,0.225,0.0413,False,0.499756,hard,large,True,[],False,"[""base_model_equal_pass_rate"", ""config_equal_pass_rate"", ""high_model_count""]",False,"[""base_model_equal_pass_rate"", ""config_equal_pass_rate"", ""high_model_count""]"
eicrud-keyset-pagination-cursor,Add keyset cursor pagination to `$find`,typescript,eicrud/eicrud,68dafce,1072,feature_request,14,168,7,443,3,446,200,196,4,0.02,0,18,50,3,0.343056,0.31,12,3,0.399482,0.219331,0.1214,0.023125,0.839993,0.375,0.225,-0.15,True,0.47121,hard,small,True,[],True,[],False,"[""high_model_count""]"
etree-xml-diff-patch,"Add XML diff, patch, and merge operations to etree",go,beevik/etree,4032e04c8f2e2f35e43ce5d772fcef14a5df4d74,4462,feature_request,52,15,8,1647,0,1647,200,198,2,0.01,0,18,50,2,0.611111,0.625,4,8,0.604054,0.678637,0.133125,0.025313,0.840237,0.675,0.7,0.025,False,0.687309,easy,large,False,"[""minimum_effective_repeats""]",False,[],False,[]
expr-try-catch-errors,Add try/catch error recovery to expr,go,expr-lang/expr,851b241a301f7c74646e65e4009c69cf290993a8,1356,feature_request,79,66265,12,466,19,485,200,200,0,0.0,0,18,50,4,0.244444,0.32,14,2,0.676865,0.699897,0.1251,0.023125,0.843987,0.102,0.2,0.098,False,0.69725,hard,small,True,[],False,"[""high_model_count""]",False,"[""base_model_equal_pass_rate"", ""high_model_count""]"
fastapi-deprecation-response-headers,"Add deprecation, sunset, and successor headers to FastAPI routes",python,fastapi/fastapi,11614be9021aa4ac078d4d0693a8b5250a1010d8,2972,feature_request,137,3134,4,784,1,785,200,200,0,0.0,0,18,50,4,0.472917,0.48,7,4,0.649866,0.667384,0.1296,0.03,0.81203,0.5918,0.55,-0.0418,False,0.716275,medium,large,True,[],True,[],True,[]
fastapi-implicit-head-options,Add implicit HEAD and automatic OPTIONS responses to FastAPI routes,python,fastapi/fastapi,11614be9021aa4ac078d4d0693a8b5250a1010d8,1602,feature_request,43,3134,4,939,4,943,200,199,1,0.005,0,18,50,3,0.442824,0.523333,7,3,0.712826,0.668922,0.132511,0.029606,0.817377,0.5102,0.525,0.0148,False,0.740042,medium,large,True,[],True,[],False,"[""high_model_count""]"
fd-deterministic-multi-key-sorting,Add deterministic multi-key sorting to fd,rust,sharkdp/fd,227883606023d62275fb48701aeac90f2b604143,3483,feature_request,43,109,5,642,14,656,200,198,2,0.01,0,18,50,3,0.525694,0.585,5,6,0.555068,0.43316,0.135136,0.02765,0.830143,0.4,0.475,0.075,False,0.61896,medium,medium,True,[],True,[],True,[]
geo-shapeindex-serialization,Add ShapeIndex encoding and decoding,go,golang/geo,87f5a40ea07a4ea629ee5623c72660f3d1b217fa,684,feature_request,24,599,7,460,4,464,200,200,0,0.0,0,18,50,4,0.674306,0.73,5,11,0.473322,0.457181,0.1346,0.015625,0.895989,0.525,0.575,0.05,False,0.571627,easy,small,True,[],True,[],False,"[""config_equal_pass_rate""]"
go-critic-doc-link-checker,Add a checker for broken doc comment links,go,go-critic/go-critic,9aea378c4dccd6f4394196ad8f0873b3e84678c8,1873,feature_request,3,16,4,835,0,835,200,200,0,0.0,0,18,50,4,0.465278,0.515,5,4,0.462624,0.24391,0.121025,0.032188,0.789916,0.551,0.5,-0.051,False,0.520197,medium,large,True,[],True,[],True,[]
go-genai-streamed-function-args,Expose accumulated streamed function-call args in SDK surfaces,go,googleapis/go-genai,87c0e5a4f27d04569d927717769f34483e0ba475,1759,feature_request,6,62,4,556,4,560,200,196,4,0.02,0,18,50,3,0.73125,0.745,2,10,0.788065,0.750994,0.123725,0.016563,0.881939,0.825,0.725,-0.1,True,0.772515,easy,small,True,[],False,"[""low_model_count""]",False,"[""base_model_equal_pass_rate"", ""config_equal_pass_rate"", ""low_model_count""]"
go-git-worktree-merge-conflicts,Add worktree merge conflict handling,go,go-git/go-git,424e9964d3a33c6507a77c126841f2c5897262af,1825,feature_request,17,2,3,1102,0,1102,200,200,0,0.0,0,18,50,4,0.615972,0.635,2,10,0.701862,0.641271,0.140525,0.022812,0.860335,0.65,0.525,-0.125,True,0.725028,easy,large,True,[],False,"[""low_model_count""]",False,"[""low_model_count""]"
goreleaser-retry-publish-auditing,Add retry-aware publishing audit logs,go,goreleaser/goreleaser,399ef141161f212f4e81b5d7497b84633fc712d9,1698,feature_request,29,29,7,611,38,649,200,200,0,0.0,0,18,50,4,0.766667,0.81,2,12,0.62788,0.732267,0.0814,0.018125,0.817885,0.5278,0.625,0.0972,False,0.675857,easy,medium,True,[],False,"[""config_equal_pass_rate"", ""low_model_count""]",False,"[""base_model_equal_pass_rate"", ""config_equal_pass_rate"", ""low_model_count""]"
gql-incremental-graphql-delivery,Add GraphQL incremental delivery with @defer and @stream,python,graphql-python/gql,f07c89f8f065010a36b4263eded209b2b1d37063,1458,feature_request,17,811,7,537,6,543,200,200,0,0.0,0,18,50,4,0.031944,0.035,17,0,-0.030864,-0.09061,0.012525,0.005313,0.702172,0.05,0.025,-0.025,False,0.110282,hard,small,True,[],False,"[""base_model_equal_pass_rate"", ""config_equal_pass_rate"", ""high_model_count""]",False,"[""base_model_equal_pass_rate"", ""config_equal_pass_rate"", ""high_model_count"", ""item_rest_correlation_config""]"
happy-dom-abort-pending-body-reads,Abort pending body reads on shutdown,typescript,capricorn86/happy-dom,82a0888cb2c87a6123e05424b528f8e8c9b3e426,665,bugfix,14,165,6,472,407,879,200,200,0,0.0,0,18,50,4,0.836111,0.905,2,16,0.458084,0.354777,0.054725,0.007812,0.875075,1.0,0.975,-0.025,False,0.502625,easy,large,True,[],False,"[""base_model_equal_pass_rate"", ""config_equal_pass_rate"", ""low_model_count""]",False,"[""base_model_equal_pass_rate"", ""config_equal_pass_rate"", ""low_model_count""]"
happy-dom-deterministic-intersectionobserver,Implement a deterministic IntersectionObserver in Happy DOM,typescript,capricorn86/happy-dom,82a0888cb2c87a6123e05424b528f8e8c9b3e426,1443,feature_request,14,9,8,750,16,766,200,198,2,0.01,0,18,50,3,0.288657,0.343333,11,2,0.286231,0.622427,0.123511,0.025856,0.826894,0.175,0.125,-0.05,False,0.507521,hard,medium,True,[],False,"[""high_model_count""]",False,"[""base_model_equal_pass_rate"", ""high_model_count"", ""item_rest_correlation_config""]"
helm-array-merge-strategies,Add configurable array merge strategies to Helm value coalescing,go,helm/helm,42f78ba60edf531d5161e00d9819a7c34d976343,2783,feature_request,47,12,10,571,7,578,200,199,1,0.005,0,18,50,3,0.2375,0.22,13,1,0.18775,-0.024539,0.0866,0.02125,0.802967,0.175,0.375,0.2,True,0.286446,hard,small,True,[],False,"[""high_model_count""]",False,"[""base_model_equal_pass_rate"", ""config_equal_pass_rate"", ""high_model_count"", ""item_rest_correlation_config""]"
helm-unified-manifest-stream,Add unified manifest stream output across Helm commands,go,helm/helm,42f78ba60edf531d5161e00d9819a7c34d976343,954,feature_request,5,2,12,445,66,511,200,199,1,0.005,0,18,50,3,0.805556,0.79,0,13,0.620593,0.333076,0.0684,0.024375,0.737268,0.8,0.8,0.0,False,0.548879,easy,small,True,[],False,"[""base_model_equal_pass_rate"", ""low_model_count""]",False,"[""base_model_equal_pass_rate"", ""config_equal_pass_rate"", ""low_model_count""]"
httpx-deterministic-cookie-store,Add a deterministic CookieStore with modern Set-Cookie parsing,typescript,encode/httpx,b5addb64f0161ff6bfe94c124ef76f6a1fba5254,3150,feature_request,115,1281,5,570,6,576,200,200,0,0.0,0,18,50,4,0.783333,0.835,2,14,0.73105,0.7892,0.066525,0.017812,0.788795,0.925,0.875,-0.05,False,0.727365,easy,small,True,[],False,"[""config_equal_pass_rate"", ""low_model_count""]",False,"[""base_model_equal_pass_rate"", ""config_equal_pass_rate"", ""low_model_count""]"
httpx-multipart-response-parsing,Add multipart response parsing to HTTPX,python,encode/httpx,b5addb64f0161ff6bfe94c124ef76f6a1fba5254,2112,feature_request,122,1272,5,600,22,622,200,200,0,0.0,0,18,50,4,0.522917,0.64,5,7,0.471369,0.547654,0.1279,0.025625,0.833089,0.6735,0.55,-0.1235,True,0.611064,medium,medium,True,[],True,[],True,[]
httpx-streaming-json-iteration,Add streaming JSON iteration to HTTPX responses,python,encode/httpx,b5addb64f0161ff6bfe94c124ef76f6a1fba5254,2532,feature_request,108,1404,3,523,7,530,200,200,0,0.0,0,18,50,4,0.382639,0.37,9,3,0.064385,0.131917,0.0931,0.035,0.726776,0.3061,0.3,-0.0061,False,0.283835,hard,small,True,[],True,[],False,"[""high_model_count"", ""item_rest_correlation_config""]"
igel-persist-feature-schema,"Persist the fitted feature schema across evaluate, predict, serve, and export",python,nidhaloff/igel,bf4544d6c86ab4ace21254cb38a011ce3e845700,1559,feature_request,24,2,5,480,123,603,200,197,3,0.015,0,18,50,3,0.477546,0.503333,6,7,0.127341,0.458525,0.138044,0.028356,0.829589,0.3469,0.475,0.1281,True,0.433362,medium,medium,True,[],True,[],False,"[""item_rest_correlation_config""]"
ink-grid-box-layout,Add CSS Grid layout to the Box component,typescript,vadimdemedes/ink,0cea59169ef0f3f83e4aa7fbedbff9d165646472,841,feature_request,25,49,3,479,6,485,200,198,2,0.01,0,18,50,3,0.28588,0.293333,11,1,0.311769,0.310114,0.0734,0.034213,0.682074,0.175,0.15,-0.025,False,0.411416,hard,small,True,[],False,"[""high_model_count""]",False,"[""base_model_equal_pass_rate"", ""config_equal_pass_rate"", ""high_model_count""]"
ipython-session-bundle-replay,Add session bundle recording and replay to IPython,python,ipython/ipython,0bb317d10fdcb3aa13beb1031d5f10e5b821203b,3590,feature_request,17,29,3,566,0,566,200,199,1,0.005,0,18,50,3,0.543056,0.595,4,7,0.284194,0.234967,0.117225,0.030937,0.791192,0.5,0.45,-0.05,False,0.436256,medium,small,True,[],True,[],False,"[""item_rest_correlation_config""]"
katex-multicolumn-array-spans,Add `\multicolumn` column spans to array-like environments,javascript,KaTeX/KaTeX,89bede495dc2c85e1c57ba627a18526f71d57396,683,feature_request,94,599,4,559,38,597,200,199,1,0.005,0,18,50,3,0.239583,0.29,14,1,0.689668,0.790376,0.0859,0.03,0.741156,0.2041,0.2,-0.0041,False,0.704093,hard,medium,True,[],False,"[""high_model_count""]",False,"[""base_model_equal_pass_rate"", ""config_equal_pass_rate"", ""high_model_count""]"
kcp-go-multiplexed-kcp-streams,Add multiplexed ordered streams over KCP,go,xtaci/kcp-go,56b1fffecd743df1e7490235e69b51c44701f34c,2367,feature_request,30,12,3,976,0,976,200,189,11,0.055,0,18,50,1,0.697222,0.73,2,10,0.374764,0.457719,0.101822,0.025301,0.800973,0.5102,0.5946,0.0844,False,0.503824,easy,large,False,"[""minimum_effective_repeats"", ""error_rate""]",False,"[""low_model_count""]",False,"[""config_equal_pass_rate"", ""low_model_count""]"
kea-atomic-signal-selectors,Add atomic signal selectors to Kea,typescript,keajs/kea,6c7ebba57821989733a11d6f3888816658584d97,3376,feature_request,12,139,8,669,16,685,200,196,4,0.02,0,18,50,3,0.272454,0.336667,12,2,0.413999,0.583893,0.101378,0.030856,0.766653,0.5833,0.4865,-0.0968,False,0.540094,hard,medium,True,[],False,"[""high_model_count""]",False,"[""base_model_equal_pass_rate"", ""high_model_count""]"
kgateway-consistent-hash-policy,Add consistent hash policy support to TrafficPolicy,go,kgateway-dev/kgateway,7abc5278782e3280fec8292b39807ec1b537eaf4,2181,feature_request,2,214,9,1108,0,1108,200,200,0,0.0,0,18,50,4,0.306944,0.36,9,2,0.373947,0.534868,0.1154,0.02875,0.800555,0.7,0.575,-0.125,True,0.523493,hard,large,True,[],False,"[""high_model_count""]",False,"[""high_model_count""]"
kombu-single-active-consumer-priority,Add single-active-consumer priority and cancel tracking to virtual transports,python,celery/kombu,3c5c1bd86376ee73d52a4cc770bdaeab15bbc2f3,4265,feature_request,85,1421,6,570,12,582,200,200,0,0.0,0,18,50,4,0.452778,0.55,7,5,0.580297,0.625573,0.1375,0.0275,0.833333,0.65,0.625,-0.025,False,0.674749,medium,medium,True,[],True,[],True,[]
kombu-virtual-queue-dead-lettering,"Add dead-lettering, TTL, and overflow handling to virtual queues",python,celery/kombu,3c5c1bd86376ee73d52a4cc770bdaeab15bbc2f3,4383,feature_request,76,1412,6,627,25,652,200,200,0,0.0,0,18,50,4,0.191667,0.245,13,2,0.568057,0.645578,0.093725,0.022812,0.804248,0.125,0.2,0.075,False,0.616203,hard,medium,True,[],False,"[""base_model_equal_pass_rate"", ""high_model_count""]",False,"[""base_model_equal_pass_rate"", ""config_equal_pass_rate"", ""high_model_count""]"
koota-composite-trait-aspects,Add composite trait aspects to Koota,typescript,pmndrs/koota,9c434858b2b522002f8c5eb4a554fa8836a7cf3c,1508,feature_request,51,172,16,697,103,800,200,187,13,0.065,11,18,50,1,0.271065,0.341667,11,2,0.692272,0.644433,0.143403,0.021863,0.867708,0.325,0.375,0.05,False,0.700385,hard,large,False,"[""minimum_effective_repeats"", ""error_rate"", ""verifier_timeouts""]",False,"[""high_model_count""]",False,"[""base_model_equal_pass_rate"", ""high_model_count""]"
koota-deferred-mutation-buffer,Add a deferred mutation buffer to batch entity changes,typescript,pmndrs/koota,31cbe9a1a26b3822a6c82ad50132508087cd24bc,932,feature_request,71,128,8,1031,108,1139,200,197,3,0.015,0,18,50,3,0.184722,0.225,13,0,0.395586,0.1852,0.098125,0.019062,0.837333,0.2653,0.225,-0.0403,False,0.428725,hard,large,True,[],False,"[""base_model_equal_pass_rate"", ""high_model_count""]",False,"[""base_model_equal_pass_rate"", ""config_equal_pass_rate"", ""high_model_count""]"
koota-entity-snapshot-rollback,Add entity snapshot and rollback APIs to Koota,python,pmndrs/koota,72ebef44b8e024d877250f055eea60cdfaa4506,2387,feature_request,84,47,6,571,0,571,200,200,0,0.0,0,18,50,4,0.734722,0.78,3,12,0.666651,0.521466,0.0916,0.02,0.820789,0.9,0.975,0.075,False,0.647572,easy,small,True,[],True,[],False,"[""base_model_equal_pass_rate"", ""config_equal_pass_rate"", ""low_model_count""]"
koota-pair-relation-tracking,Add pair-level relation tracking modifiers,typescript,pmndrs/koota,9c434858b2b522002f8c5eb4a554fa8836a7cf3c,981,feature_request,38,172,14,547,74,621,200,200,0,0.0,0,18,50,4,0.188889,0.235,15,1,0.557165,0.67271,0.101025,0.019688,0.836906,0.175,0.15,-0.025,False,0.624061,hard,medium,True,[],False,"[""base_model_equal_pass_rate"", ""high_model_count""]",False,"[""base_model_equal_pass_rate"", ""config_equal_pass_rate"", ""high_model_count""]"
koota-query-predicates,Add value-based query predicates to Koota,typescript,pmndrs/koota,9c434858b2b522002f8c5eb4a554fa8836a7cf3c,859,feature_request,43,172,17,784,38,822,200,196,4,0.02,3,18,50,3,0.176389,0.255,15,1,0.486674,0.619805,0.105392,0.022257,0.825639,0.2,0.2,0.0,False,0.57436,hard,large,False,"[""verifier_timeouts""]",False,"[""base_model_equal_pass_rate"", ""high_model_count""]",False,"[""base_model_equal_pass_rate"", ""config_equal_pass_rate"", ""high_model_count""]"
kysely-window-grouping-helpers,Add grouping-set and window-frame SQL helpers,typescript,kysely-org/kysely,91cf3733b2a419f5b17dff118cedb7052ab5300d,2633,feature_request,254,22,15,827,3,830,200,198,2,0.01,0,18,50,3,0.620139,0.67,3,10,0.720354,0.692524,0.1236,0.024375,0.835276,0.8571,0.8,-0.0571,False,0.740317,easy,large,True,[],True,[],False,"[""low_model_count""]"
langchain-request-coalescing,Add request coalescing to `Runnable`,python,langchain-ai/langchain,7cef35b,1691,feature_request,50,232,4,820,0,820,200,198,2,0.01,2,18,50,3,0.38912,0.415,7,1,0.599427,0.299468,0.107636,0.034525,0.757139,0.1429,0.275,0.1321,True,0.573861,hard,large,False,"[""verifier_timeouts""]",False,"[""high_model_count""]",False,"[""high_model_count""]"
mashumaro-flattened-dataclass-fields,Add flattened dataclass fields to Mashumaro field options,python,Fatal1ty/mashumaro,de139fd51c4d347666d109a8aea9d25451d908f6,471,feature_request,66,30014,3,523,13,536,200,200,0,0.0,0,18,50,4,0.409722,0.475,8,3,0.615896,0.607028,0.113125,0.034063,0.768577,0.225,0.25,0.025,False,0.66457,medium,small,True,[],True,[],False,"[""high_model_count""]"
