task_id,title,language,repository,base_commit_hash,prompt_characters,category,f2p_test_count,p2p_test_count,gold_patch_files,gold_patch_insertions,gold_patch_deletions,gold_patch_changed_lines,total_trials,effective_trials,excluded_trials,error_rate,verifier_timeouts,model_coverage,config_coverage,minimum_effective_repeats,base_model_equal_pass_rate,config_equal_pass_rate,low_model_count,high_model_count,item_rest_correlation_config,item_rest_correlation_base_model,between_config_variance,within_config_mean_variance,discrimination_signal_ratio,v1_pass_rate,v1_1_pass_rate_on_shared_rollouts,v1_to_v1_1_delta,scoring_sensitive,rank_score,difficulty_band,patch_size_band,layer_01_stable,layer_01_exclusion_reasons,layer_02_broad,layer_02_exclusion_reasons,layer_03_core,layer_03_exclusion_reasons
igel-persist-feature-schema,"Persist the fitted feature schema across evaluate, predict, serve, and export",python,nidhaloff/igel,bf4544d6c86ab4ace21254cb38a011ce3e845700,1559,feature_request,24,2,5,480,123,603,200,197,3,0.015,0,18,50,3,0.477546,0.503333,6,7,0.127341,0.458525,0.138044,0.028356,0.829589,0.3469,0.475,0.1281,True,0.433362,medium,medium,True,[],True,[],False,"[""item_rest_correlation_config""]"
ipython-session-bundle-replay,Add session bundle recording and replay to IPython,python,ipython/ipython,0bb317d10fdcb3aa13beb1031d5f10e5b821203b,3590,feature_request,17,29,3,566,0,566,200,199,1,0.005,0,18,50,3,0.543056,0.595,4,7,0.284194,0.234967,0.117225,0.030937,0.791192,0.5,0.45,-0.05,False,0.436256,medium,small,True,[],True,[],False,"[""item_rest_correlation_config""]"
kombu-single-active-consumer-priority,Add single-active-consumer priority and cancel tracking to virtual transports,python,celery/kombu,3c5c1bd86376ee73d52a4cc770bdaeab15bbc2f3,4265,feature_request,85,1421,6,570,12,582,200,200,0,0.0,0,18,50,4,0.452778,0.55,7,5,0.580297,0.625573,0.1375,0.0275,0.833333,0.65,0.625,-0.025,False,0.674749,medium,medium,True,[],True,[],True,[]
koota-entity-snapshot-rollback,Add entity snapshot and rollback APIs to Koota,python,pmndrs/koota,72ebef44b8e024d877250f055eea60cdfaa4506,2387,feature_request,84,47,6,571,0,571,200,200,0,0.0,0,18,50,4,0.734722,0.78,3,12,0.666651,0.521466,0.0916,0.02,0.820789,0.9,0.975,0.075,False,0.647572,easy,small,True,[],True,[],False,"[""base_model_equal_pass_rate"", ""config_equal_pass_rate"", ""low_model_count""]"
kysely-window-grouping-helpers,Add grouping-set and window-frame SQL helpers,typescript,kysely-org/kysely,91cf3733b2a419f5b17dff118cedb7052ab5300d,2633,feature_request,254,22,15,827,3,830,200,198,2,0.01,0,18,50,3,0.620139,0.67,3,10,0.720354,0.692524,0.1236,0.024375,0.835276,0.8571,0.8,-0.0571,False,0.740317,easy,large,True,[],True,[],False,"[""low_model_count""]"
mashumaro-flattened-dataclass-fields,Add flattened dataclass fields to Mashumaro field options,python,Fatal1ty/mashumaro,de139fd51c4d347666d109a8aea9d25451d908f6,471,feature_request,66,30014,3,523,13,536,200,200,0,0.0,0,18,50,4,0.409722,0.475,8,3,0.615896,0.607028,0.113125,0.034063,0.768577,0.225,0.25,0.025,False,0.66457,medium,small,True,[],True,[],False,"[""high_model_count""]"
mnamer-daemon-watch-lifecycle,"Validate daemon watch, status, and log lifecycle",python,jkwill87/mnamer,73f5b537c8cad998e8e6d6bc40ad60e2e23bf268,2839,feature_request,51,319,3,660,2,662,200,199,1,0.005,0,18,50,3,0.510648,0.551667,6,5,0.667047,0.69089,0.159136,0.022419,0.876517,0.725,0.6,-0.125,True,0.746068,medium,medium,True,[],True,[],True,[]
mobly-grouped-test-barriers,Add grouped test phases with synchronized barriers,python,google/mobly,ec052921917ef201e73cc8e275dc91c5706b345f,2518,feature_request,79,808,3,587,30,617,200,200,0,0.0,0,18,50,4,0.558333,0.61,4,10,0.66915,0.656278,0.1504,0.021875,0.873023,0.65,0.625,-0.025,False,0.728125,medium,medium,True,[],True,[],True,[]
numba-stencil-boundary-modes,Add boundary modes to `@stencil`,python,numba/numba,5781334aa654972fdc749003e7c1e93e6d277110,797,feature_request,29,827,3,535,74,609,200,198,2,0.01,0,18,50,3,0.590046,0.648333,3,6,0.713315,0.596476,0.127303,0.025544,0.832878,0.7692,0.75,-0.0192,False,0.718677,medium,medium,True,[],True,[],False,"[""low_model_count""]"
obsidian-linter-link-format-conversion,Add link format conversion between wiki and markdown syntax,typescript,platers/obsidian-linter,6393b3ab32a2ace1fc24d4b0f5e0f13a179c874f,2097,feature_request,60,1131,3,769,0,769,200,200,0,0.0,0,18,50,4,0.2625,0.26,12,3,-0.166138,-0.268519,0.0749,0.029375,0.718293,0.225,0.25,0.025,False,0.054267,hard,medium,True,[],True,[],False,"[""base_model_equal_pass_rate"", ""config_equal_pass_rate"", ""high_model_count"", ""item_rest_correlation_config""]"
obsidian-linter-scoped-ignore-markers,Add scoped per-rule ignore markers to Obsidian Linter,typescript,platers/obsidian-linter,6393b3ab32a2ace1fc24d4b0f5e0f13a179c874f,2142,feature_request,33,1133,6,922,7,929,200,200,0,0.0,0,18,50,4,0.620139,0.675,5,8,0.674072,0.657857,0.118125,0.025313,0.823529,0.85,0.75,-0.1,True,0.708475,easy,large,True,[],True,[],True,[]
opa-rego-rule-profiling,Add rule evaluation profiling to Rego,go,open-policy-agent/opa,1ac64ef1a57a531c2723c59848890b88e816d777,2849,feature_request,25,6,3,515,0,515,200,200,0,0.0,0,18,50,4,0.536806,0.62,5,8,0.387146,0.305508,0.1206,0.02875,0.807499,0.5278,0.475,-0.0528,False,0.504731,medium,small,True,[],True,[],True,[]
pebble-durability-wait-apis,Add durability callbacks and wait APIs for sync writes,go,cockroachdb/pebble,1454d2bc0f378d7f34766afafee68a77e7b85995,2660,feature_request,59,44,8,654,16,670,200,200,0,0.0,0,18,50,4,0.425,0.565,7,4,0.829612,0.759565,0.162025,0.020938,0.885564,0.625,0.625,0.0,False,0.825329,medium,medium,True,[],True,[],True,[]
prometheus-typed-label-sorting,Fix PromQL label sorting across typed and untyped values,go,prometheus/prometheus,8b25b26a7653d9c7444f217a7f2ae9b327bda921,1529,bugfix,17,28,3,805,35,840,200,200,0,0.0,0,18,50,4,0.44375,0.49,7,5,0.615649,0.69302,0.1199,0.0325,0.786745,0.3673,0.475,0.1077,True,0.696396,medium,large,True,[],True,[],True,[]
python-statemachine-state-data-scoping,Add scoped state data to state machine callbacks and history,python,fgmacedo/python-statemachine,8d17ba9f6ba8420cf05fddb94013bc221ed9a222,1857,feature_request,72,1286,17,487,8,495,200,200,0,0.0,0,18,50,4,0.3375,0.345,11,3,0.504135,0.53193,0.147225,0.019688,0.882049,0.3061,0.25,-0.0561,False,0.603753,hard,small,True,[],True,[],False,"[""high_model_count""]"
query-persist-restored-query-state,Preserve restored query state in persisted snapshots,typescript,TanStack/query,1047cdc393fac7c98822c993d70c28f58833c63d,2835,feature_request,8,42,6,624,94,718,200,200,0,0.0,0,18,50,4,0.648611,0.72,3,8,0.103478,0.597959,0.0766,0.03125,0.710246,0.725,0.6,-0.125,True,0.408382,easy,medium,True,[],True,[],False,"[""config_equal_pass_rate"", ""low_model_count"", ""item_rest_correlation_config""]"
scc-bounded-memory-spilling,Add bounded-memory spilling to SCC aggregation,go,boyter/scc,bc2796e01998ebc2d40818323f93113aed2542ea,1916,feature_request,31,286,12,972,2,974,200,198,2,0.01,0,18,50,3,0.567361,0.575,3,5,0.457731,0.317265,0.111736,0.0339,0.767226,0.475,0.65,0.175,True,0.525268,medium,large,True,[],True,[],False,"[""low_model_count""]"
scriggo-method-declarations,Add method declarations and interface dispatch to Scriggo,go,open2b/scriggo,11703bb5e02cca28d08fe83ac9a4bdd2e087235e,958,feature_request,48,1049,18,747,122,869,198,196,2,0.010101,0,18,50,3,0.484028,0.59,7,8,0.731267,0.696825,0.1919,0.0125,0.938845,0.7,0.6,-0.1,True,0.787851,medium,large,True,[],True,[],True,[]
skrub-duration-encoding,Add duration encoding to TableVectorizer,python,skrub-data/skrub,24c4466fea94f551fb73d21eba54038dc5b346d3,3348,feature_request,130,2784,7,834,2,836,200,200,0,0.0,0,18,50,4,0.450694,0.56,8,6,0.720004,0.63855,0.1489,0.024375,0.859328,0.2245,0.6,0.3755,True,0.745644,medium,large,True,[],True,[],True,[]
sqlite-utils-safe-import-checkpoints,Add safe import checkpoints and invariant validation,python,simonw/sqlite-utils,8d74ffc93292c604d5827e2b44fffedca0c28c19,2509,feature_request,60,1038,5,848,9,857,200,200,0,0.0,0,18,50,4,0.509722,0.53,6,7,0.782437,0.858468,0.1291,0.03,0.811439,0.625,0.575,-0.05,False,0.827057,medium,large,True,[],True,[],True,[]
tengo-callable-instance-isolation,Fix isolated Go-side calls for Tengo callables and closures,go,d5/tengo,3cad0da7a51b1206c6f01e3f4fbb44b976d5275c,1246,bugfix,23,122,4,642,24,666,200,200,0,0.0,0,18,50,4,0.551389,0.595,5,7,0.717593,0.577071,0.154725,0.021562,0.877686,0.5918,0.625,0.0332,False,0.732444,medium,medium,True,[],True,[],True,[]
tengo-destructuring-bindings,Add destructuring bindings to Tengo,go,d5/tengo,3cad0da7a51b1206c6f01e3f4fbb44b976d5275c,952,feature_request,91,132,6,819,14,833,200,200,0,0.0,0,18,50,4,0.483333,0.54,6,6,0.794298,0.801694,0.1559,0.023125,0.870828,0.6327,0.725,0.0923,False,0.82869,medium,large,True,[],True,[],True,[]
testem-per-launcher-reports,Partition report files by launcher and expand report templates,javascript,testem/testem,158f61ea91c9613d2011c41ee9be40ada1d7a307,2092,feature_request,65,469,6,455,48,503,200,199,1,0.005,0,18,50,3,0.694444,0.7,3,10,0.721128,0.505512,0.15,0.015,0.909091,0.75,0.95,0.2,True,0.693815,easy,small,True,[],True,[],False,"[""low_model_count""]"
textual-kitty-key-phases,Complete Kitty keyboard phases and stable fallback key metadata,python,Textualize/textual,9737a5ab723f79e59f0a83eb036a3d15fad6b054,1665,feature_request,23,57,7,497,39,536,200,200,0,0.0,0,18,50,4,0.320833,0.35,9,3,0.7048,0.85306,0.1075,0.03,0.781818,0.5,0.425,-0.075,False,0.750956,hard,small,True,[],True,[],False,"[""high_model_count""]"
textual-richlog-follow-state,Restore RichLog follow-state parity and expand reflow behavior,python,Textualize/textual,0f0849fd37fbd0d4d6f81889476c22340129df67,1564,feature_request,20,6,3,521,107,628,200,200,0,0.0,0,18,50,4,0.55625,0.64,5,8,0.610313,0.57172,0.1229,0.026875,0.820564,0.625,0.6,-0.025,False,0.670434,medium,medium,True,[],True,[],True,[]
tomlkit-toml-table-converters,Add bidirectional TOML table converters,python,python-poetry/tomlkit,dd05eebc8ed9e30fc6c223088a5a450cb54c1cab,1944,feature_request,60,964,4,597,0,597,200,198,2,0.01,0,18,50,3,0.590278,0.63,5,9,0.587226,0.526663,0.1681,0.01625,0.911852,0.7347,0.75,0.0153,False,0.660232,medium,medium,True,[],True,[],True,[]
valibot-recursive-schema-composition,Add recursive schema composition to Valibot,typescript,open-circle/valibot,50016c77c808f9ca80391cf1abc96cc5416cf57d,1552,feature_request,10,209,22,654,180,834,200,198,2,0.01,0,18,50,3,0.597917,0.695,4,7,0.795615,0.872567,0.128225,0.020938,0.859633,0.6735,0.675,0.0015,False,0.828512,medium,large,True,[],True,[],True,[]
yaegi-go-embed-directives,Add go:embed directive support for interpreted packages,go,traefik/yaegi,fcb76d1ece0c3edc2548c39aa5b170475d2261bb,1300,feature_request,38,58,3,613,4,617,200,200,0,0.0,0,18,50,4,0.595833,0.625,4,7,0.485395,0.594436,0.083125,0.037812,0.687339,0.725,0.55,-0.175,True,0.585338,medium,medium,True,[],True,[],True,[]
