task_id,title,language,repository,base_commit_hash,prompt_characters,category,f2p_test_count,p2p_test_count,gold_patch_files,gold_patch_insertions,gold_patch_deletions,gold_patch_changed_lines,total_trials,effective_trials,excluded_trials,error_rate,verifier_timeouts,model_coverage,config_coverage,minimum_effective_repeats,base_model_equal_pass_rate,config_equal_pass_rate,low_model_count,high_model_count,item_rest_correlation_config,item_rest_correlation_base_model,between_config_variance,within_config_mean_variance,discrimination_signal_ratio,v1_pass_rate,v1_1_pass_rate_on_shared_rollouts,v1_to_v1_1_delta,scoring_sensitive,rank_score,difficulty_band,patch_size_band,layer_01_stable,layer_01_exclusion_reasons,layer_02_broad,layer_02_exclusion_reasons,layer_03_core,layer_03_exclusion_reasons
fastapi-deprecation-response-headers,"Add deprecation, sunset, and successor headers to FastAPI routes",python,fastapi/fastapi,11614be9021aa4ac078d4d0693a8b5250a1010d8,2972,feature_request,137,3134,4,784,1,785,200,200,0,0.0,0,18,50,4,0.472917,0.48,7,4,0.649866,0.667384,0.1296,0.03,0.81203,0.5918,0.55,-0.0418,False,0.716275,medium,large,True,[],True,[],True,[]
fd-deterministic-multi-key-sorting,Add deterministic multi-key sorting to fd,rust,sharkdp/fd,227883606023d62275fb48701aeac90f2b604143,3483,feature_request,43,109,5,642,14,656,200,198,2,0.01,0,18,50,3,0.525694,0.585,5,6,0.555068,0.43316,0.135136,0.02765,0.830143,0.4,0.475,0.075,False,0.61896,medium,medium,True,[],True,[],True,[]
go-critic-doc-link-checker,Add a checker for broken doc comment links,go,go-critic/go-critic,9aea378c4dccd6f4394196ad8f0873b3e84678c8,1873,feature_request,3,16,4,835,0,835,200,200,0,0.0,0,18,50,4,0.465278,0.515,5,4,0.462624,0.24391,0.121025,0.032188,0.789916,0.551,0.5,-0.051,False,0.520197,medium,large,True,[],True,[],True,[]
httpx-multipart-response-parsing,Add multipart response parsing to HTTPX,python,encode/httpx,b5addb64f0161ff6bfe94c124ef76f6a1fba5254,2112,feature_request,122,1272,5,600,22,622,200,200,0,0.0,0,18,50,4,0.522917,0.64,5,7,0.471369,0.547654,0.1279,0.025625,0.833089,0.6735,0.55,-0.1235,True,0.611064,medium,medium,True,[],True,[],True,[]
kombu-single-active-consumer-priority,Add single-active-consumer priority and cancel tracking to virtual transports,python,celery/kombu,3c5c1bd86376ee73d52a4cc770bdaeab15bbc2f3,4265,feature_request,85,1421,6,570,12,582,200,200,0,0.0,0,18,50,4,0.452778,0.55,7,5,0.580297,0.625573,0.1375,0.0275,0.833333,0.65,0.625,-0.025,False,0.674749,medium,medium,True,[],True,[],True,[]
mnamer-daemon-watch-lifecycle,"Validate daemon watch, status, and log lifecycle",python,jkwill87/mnamer,73f5b537c8cad998e8e6d6bc40ad60e2e23bf268,2839,feature_request,51,319,3,660,2,662,200,199,1,0.005,0,18,50,3,0.510648,0.551667,6,5,0.667047,0.69089,0.159136,0.022419,0.876517,0.725,0.6,-0.125,True,0.746068,medium,medium,True,[],True,[],True,[]
mobly-grouped-test-barriers,Add grouped test phases with synchronized barriers,python,google/mobly,ec052921917ef201e73cc8e275dc91c5706b345f,2518,feature_request,79,808,3,587,30,617,200,200,0,0.0,0,18,50,4,0.558333,0.61,4,10,0.66915,0.656278,0.1504,0.021875,0.873023,0.65,0.625,-0.025,False,0.728125,medium,medium,True,[],True,[],True,[]
obsidian-linter-scoped-ignore-markers,Add scoped per-rule ignore markers to Obsidian Linter,typescript,platers/obsidian-linter,6393b3ab32a2ace1fc24d4b0f5e0f13a179c874f,2142,feature_request,33,1133,6,922,7,929,200,200,0,0.0,0,18,50,4,0.620139,0.675,5,8,0.674072,0.657857,0.118125,0.025313,0.823529,0.85,0.75,-0.1,True,0.708475,easy,large,True,[],True,[],True,[]
opa-rego-rule-profiling,Add rule evaluation profiling to Rego,go,open-policy-agent/opa,1ac64ef1a57a531c2723c59848890b88e816d777,2849,feature_request,25,6,3,515,0,515,200,200,0,0.0,0,18,50,4,0.536806,0.62,5,8,0.387146,0.305508,0.1206,0.02875,0.807499,0.5278,0.475,-0.0528,False,0.504731,medium,small,True,[],True,[],True,[]
pebble-durability-wait-apis,Add durability callbacks and wait APIs for sync writes,go,cockroachdb/pebble,1454d2bc0f378d7f34766afafee68a77e7b85995,2660,feature_request,59,44,8,654,16,670,200,200,0,0.0,0,18,50,4,0.425,0.565,7,4,0.829612,0.759565,0.162025,0.020938,0.885564,0.625,0.625,0.0,False,0.825329,medium,medium,True,[],True,[],True,[]
prometheus-typed-label-sorting,Fix PromQL label sorting across typed and untyped values,go,prometheus/prometheus,8b25b26a7653d9c7444f217a7f2ae9b327bda921,1529,bugfix,17,28,3,805,35,840,200,200,0,0.0,0,18,50,4,0.44375,0.49,7,5,0.615649,0.69302,0.1199,0.0325,0.786745,0.3673,0.475,0.1077,True,0.696396,medium,large,True,[],True,[],True,[]
scriggo-method-declarations,Add method declarations and interface dispatch to Scriggo,go,open2b/scriggo,11703bb5e02cca28d08fe83ac9a4bdd2e087235e,958,feature_request,48,1049,18,747,122,869,198,196,2,0.010101,0,18,50,3,0.484028,0.59,7,8,0.731267,0.696825,0.1919,0.0125,0.938845,0.7,0.6,-0.1,True,0.787851,medium,large,True,[],True,[],True,[]
skrub-duration-encoding,Add duration encoding to TableVectorizer,python,skrub-data/skrub,24c4466fea94f551fb73d21eba54038dc5b346d3,3348,feature_request,130,2784,7,834,2,836,200,200,0,0.0,0,18,50,4,0.450694,0.56,8,6,0.720004,0.63855,0.1489,0.024375,0.859328,0.2245,0.6,0.3755,True,0.745644,medium,large,True,[],True,[],True,[]
sqlite-utils-safe-import-checkpoints,Add safe import checkpoints and invariant validation,python,simonw/sqlite-utils,8d74ffc93292c604d5827e2b44fffedca0c28c19,2509,feature_request,60,1038,5,848,9,857,200,200,0,0.0,0,18,50,4,0.509722,0.53,6,7,0.782437,0.858468,0.1291,0.03,0.811439,0.625,0.575,-0.05,False,0.827057,medium,large,True,[],True,[],True,[]
tengo-callable-instance-isolation,Fix isolated Go-side calls for Tengo callables and closures,go,d5/tengo,3cad0da7a51b1206c6f01e3f4fbb44b976d5275c,1246,bugfix,23,122,4,642,24,666,200,200,0,0.0,0,18,50,4,0.551389,0.595,5,7,0.717593,0.577071,0.154725,0.021562,0.877686,0.5918,0.625,0.0332,False,0.732444,medium,medium,True,[],True,[],True,[]
tengo-destructuring-bindings,Add destructuring bindings to Tengo,go,d5/tengo,3cad0da7a51b1206c6f01e3f4fbb44b976d5275c,952,feature_request,91,132,6,819,14,833,200,200,0,0.0,0,18,50,4,0.483333,0.54,6,6,0.794298,0.801694,0.1559,0.023125,0.870828,0.6327,0.725,0.0923,False,0.82869,medium,large,True,[],True,[],True,[]
textual-richlog-follow-state,Restore RichLog follow-state parity and expand reflow behavior,python,Textualize/textual,0f0849fd37fbd0d4d6f81889476c22340129df67,1564,feature_request,20,6,3,521,107,628,200,200,0,0.0,0,18,50,4,0.55625,0.64,5,8,0.610313,0.57172,0.1229,0.026875,0.820564,0.625,0.6,-0.025,False,0.670434,medium,medium,True,[],True,[],True,[]
tomlkit-toml-table-converters,Add bidirectional TOML table converters,python,python-poetry/tomlkit,dd05eebc8ed9e30fc6c223088a5a450cb54c1cab,1944,feature_request,60,964,4,597,0,597,200,198,2,0.01,0,18,50,3,0.590278,0.63,5,9,0.587226,0.526663,0.1681,0.01625,0.911852,0.7347,0.75,0.0153,False,0.660232,medium,medium,True,[],True,[],True,[]
valibot-recursive-schema-composition,Add recursive schema composition to Valibot,typescript,open-circle/valibot,50016c77c808f9ca80391cf1abc96cc5416cf57d,1552,feature_request,10,209,22,654,180,834,200,198,2,0.01,0,18,50,3,0.597917,0.695,4,7,0.795615,0.872567,0.128225,0.020938,0.859633,0.6735,0.675,0.0015,False,0.828512,medium,large,True,[],True,[],True,[]
yaegi-go-embed-directives,Add go:embed directive support for interpreted packages,go,traefik/yaegi,fcb76d1ece0c3edc2548c39aa5b170475d2261bb,1300,feature_request,38,58,3,613,4,617,200,200,0,0.0,0,18,50,4,0.595833,0.625,4,7,0.485395,0.594436,0.083125,0.037812,0.687339,0.725,0.55,-0.175,True,0.585338,medium,medium,True,[],True,[],True,[]
